Part		Description	Price:	1	10	100	250	1000
MF-RES-0603-1.69K	MF-RES-0603-1.69K - Resistor Thick Film 0603 1.69K Ohm 1% 100mW 75V	Resistor Thick Film 0603 1.69K Ohm 1% 100mW 75V		$0.050	$0.010	$0.005	$0.004	$0.003
MF-CAP-0603-1uF	MF-CAP-0603-1uF - Capacitor MLCC 0603 1uF 10% 25V	Capacitor MLCC 0603 1uF 10% 25V		$0.050	$0.020	$0.018	$0.017	$0.016
MF-RES-0402-18K	MF-RES-0402-18K - Resistor Thick Film 0402 18K Ohm 5% 100mW 50V	Resistor Thick Film 0402 18K Ohm 5% 100mW 50V		$0.050	$0.007	$0.005	$0.004	$0.003
MF-RES-0402-47	MF-RES-0402-47 - Resistor Thick Film 0402 47 Ohm 5% 100mW 50V	Resistor Thick Film 0402 47 Ohm 5% 100mW 50V		$0.070	$0.007	$0.005	$0.004	$0.003
MF-RES-0805-8.2K	MF-RES-0805-8.2K - Resistor Thick Film 0805 8.2K Ohm 5% 125mW 150V	Resistor Thick Film 0805 8.2K Ohm 5% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.004
MF-RES-0402-680K	MF-RES-0402-680K - Resistor Thick Film 0402 680K Ohm 5% 100mW 50V	Resistor Thick Film 0402 680K Ohm 5% 100mW 50V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0603-5.6K	MF-RES-0603-5.6K - Resistor Thick Film 0603 5.6K Ohm 5% 100mW 75V	Resistor Thick Film 0603 5.6K Ohm 5% 100mW 75V		$0.050	$0.006	$0.005	$0.004	$0.003
MF-RES-0402-100K	MF-RES-0402-100K - Resistor Thick Film 0402 100K Ohm 5% 100mW 50V	Resistor Thick Film 0402 100K Ohm 5% 100mW 50V		$0.070	$0.007	$0.005	$0.004	$0.003
MF-RES-0603-100	MF-RES-0603-100 - Resistor Thick Film 0603 100 Ohm 5% 100mW 75V	Resistor Thick Film 0603 100 Ohm 5% 100mW 75V		$0.050	$0.008	$0.006	$0.005	$0.003
MF-RES-0402-220	MF-RES-0402-220 - Resistor Thick Film 0402 220 Ohm 5% 100mW 50V	Resistor Thick Film 0402 220 Ohm 5% 100mW 50V		$0.070	$0.008	$0.005	$0.004	$0.003
MF-RES-0805-0	MF-RES-0805-0 - Resistor Thick Film 0805 0 Ohm Jumper	Resistor Thick Film 0805 0 Ohm Jumper		$0.050	$0.009	$0.007	$0.005	$0.004
MF-RES-0805-6.8K	MF-RES-0805-6.8K - Resistor Thick Film 0805 6.8K Ohm 5% 125mW 150V	Resistor Thick Film 0805 6.8K Ohm 5% 125mW 150V		$0.050	$0.010	$0.005	$0.004	$0.003
